store_code	id	availability	price	sale_price	sale_price_effective_date
Homes Alive - St. Albert Trail	20728	limited availability	33.49 CAD		
Homes Alive - St. Albert Trail	41085	limited availability	116.99 CAD		
Homes Alive - St. Albert Trail	50596	in stock	27.99 CAD	23.79 CAD	2025-02-05T00:00:00.000-07:00/2025-03-06T00:00:00.000-07:00
Homes Alive - St. Albert Trail	50994	in stock	2.69 CAD		
Homes Alive - St. Albert Trail	25344	in stock	6.99 CAD		
Homes Alive - St. Albert Trail	41260	in stock	33.99 CAD		
Homes Alive - St. Albert Trail	53301	in stock	3.09 CAD	2.63 CAD	2025-02-05T00:00:00.000-07:00/2025-03-06T00:00:00.000-07:00
Homes Alive - St. Albert Trail	53460	in stock	3.59 CAD		
Homes Alive - St. Albert Trail	35944	limited availability	65.49 CAD		
Homes Alive - St. Albert Trail	30350	in stock	14.99 CAD		
Homes Alive - St. Albert Trail	55462	in stock	11.99 CAD		
Homes Alive - St. Albert Trail	32707	limited availability	10.49 CAD		
Homes Alive - St. Albert Trail	38285	limited availability	57.99 CAD		
Homes Alive - St. Albert Trail	75843	limited availability	28.99 CAD		
Homes Alive - St. Albert Trail	76009	limited availability	38.99 CAD		
Homes Alive - St. Albert Trail	80422	limited availability	22.49 CAD		
Homes Alive - St. Albert Trail	80524	in stock	14.49 CAD		
Homes Alive - St. Albert Trail	71836	in stock	39.99 CAD		
Homes Alive - St. Albert Trail	76296	limited availability	18.99 CAD		
Homes Alive - St. Albert Trail	76327	limited availability	34.99 CAD		
Homes Alive - St. Albert Trail	76484	in stock	3.99 CAD		
Homes Alive - St. Albert Trail	81783	limited availability	17.99 CAD		
Homes Alive - St. Albert Trail	58419	in stock	27.49 CAD		
Homes Alive - St. Albert Trail	68607	in stock	43.49 CAD		
Homes Alive - St. Albert Trail	77788	in stock	46.99 CAD		
Homes Alive - St. Albert Trail	82043	in stock	9.99 CAD		
Homes Alive - St. Albert Trail	68973	limited availability	115.99 CAD		
Homes Alive - St. Albert Trail	69258	limited availability	149.99 CAD		
Homes Alive - St. Albert Trail	77887	limited availability	42.99 CAD		
Homes Alive - St. Albert Trail	78237	limited availability	26.99 CAD		
Homes Alive - St. Albert Trail	82747	limited availability	41.99 CAD		
Homes Alive - St. Albert Trail	73998	limited availability	16.99 CAD		
Homes Alive - St. Albert Trail	74074	limited availability	131.99 CAD		
Homes Alive - St. Albert Trail	78680	limited availability	74.99 CAD		
