store_code	id	availability	price	sale_price	sale_price_effective_date
Homes Alive Pets Lethbridge	7789	limited availability	18.99 CAD		
Homes Alive Pets Lethbridge	17289	in stock	7.49 CAD		
Homes Alive Pets Lethbridge	2256	limited availability	5.99 CAD		
Homes Alive Pets Lethbridge	12387	limited availability	14.99 CAD		
Homes Alive Pets Lethbridge	16055	limited availability	36.99 CAD		
Homes Alive Pets Lethbridge	51704	in stock	7.49 CAD	5.99 CAD	2026-02-04T00:00:00.000-07:00/2026-03-05T00:00:00.000-07:00
Homes Alive Pets Lethbridge	23160	in stock	112.99 CAD		
Homes Alive Pets Lethbridge	15434	in stock	20.99 CAD		
Homes Alive Pets Lethbridge	17720	limited availability	33.99 CAD		
Homes Alive Pets Lethbridge	56922	limited availability	53.99 CAD		
Homes Alive Pets Lethbridge	68678	in stock	9.99 CAD		
Homes Alive Pets Lethbridge	77756	limited availability	23.99 CAD		
Homes Alive Pets Lethbridge	66356	limited availability	49.99 CAD		
Homes Alive Pets Lethbridge	70245	in stock	11.49 CAD		
Homes Alive Pets Lethbridge	70343	limited availability	15.99 CAD		
Homes Alive Pets Lethbridge	53475	in stock	105.99 CAD		
Homes Alive Pets Lethbridge	57932	in stock	44.99 CAD		
Homes Alive Pets Lethbridge	68151	in stock	6.59 CAD		
Homes Alive Pets Lethbridge	76948	in stock	18.99 CAD		
Homes Alive Pets Lethbridge	81630	limited availability	38.99 CAD		
Homes Alive Pets Lethbridge	73902	limited availability	79.99 CAD		
Homes Alive Pets Lethbridge	74162	in stock	13.99 CAD		
Homes Alive Pets Lethbridge	73432	in stock	21.49 CAD	18.27 CAD	2026-02-04T00:00:00.000-07:00/2026-03-05T00:00:00.000-07:00
Homes Alive Pets Lethbridge	73618	limited availability	21.49 CAD	17.19 CAD	2026-02-04T00:00:00.000-07:00/2026-03-05T00:00:00.000-07:00
Homes Alive Pets Lethbridge	82968	limited availability	59.99 CAD		
Homes Alive Pets Lethbridge	61265	limited availability	10.99 CAD		
Homes Alive Pets Lethbridge	69948	limited availability	66.49 CAD		
Homes Alive Pets Lethbridge	70004	limited availability	19.99 CAD		
Homes Alive Pets Lethbridge	79382	limited availability	36.99 CAD		
Homes Alive Pets Lethbridge	75958	limited availability	25.99 CAD		
Homes Alive Pets Lethbridge	80461	in stock	7.49 CAD		
Homes Alive Pets Lethbridge	77822	limited availability	24.49 CAD		
Homes Alive Pets Lethbridge	82125	limited availability	16.99 CAD		
Homes Alive Pets Lethbridge	71831	in stock	29.99 CAD		
Homes Alive Pets Lethbridge	76305	in stock	40.99 CAD	30.74 CAD	2026-02-05T00:00:00.000-07:00/2026-03-03T00:00:00.000-07:00
Homes Alive Pets Lethbridge	80851	in stock	22.99 CAD		
Homes Alive Pets Lethbridge	85553	in stock	56.99 CAD		
Homes Alive Pets Lethbridge	85827	limited availability	21.49 CAD		
Homes Alive Pets Lethbridge	85827	limited availability	21.49 CAD		
Homes Alive Pets Lethbridge	85888	in stock	8.99 CAD		
Homes Alive Pets Lethbridge	85888	in stock	8.99 CAD		
Homes Alive Pets Lethbridge	83576	in stock	34.49 CAD		
Homes Alive Pets Lethbridge	79591	in stock	42.99 CAD		
