store_code	id	availability	price	sale_price	sale_price_effective_date
03408453943768095020	30327	in stock	28.99 CAD		
03408453943768095020	40319	in stock	24.99 CAD		
03408453943768095020	20857	limited availability	16.99 CAD		
03408453943768095020	52118	in stock	152.99 CAD		
03408453943768095020	27880	limited availability	8.99 CAD		
03408453943768095020	25356	in stock	16.49 CAD		
03408453943768095020	53482	limited availability	4.79 CAD		
03408453943768095020	40993	in stock	4.49 CAD	3.82 CAD	2026-01-07T00:00:00.000-07:00/2026-02-05T00:00:00.000-07:00
03408453943768095020	60315	in stock	99.99 CAD		
03408453943768095020	50365	limited availability	10.99 CAD		
03408453943768095020	50971	in stock	2.29 CAD		
03408453943768095020	55441	in stock	21.49 CAD		
03408453943768095020	76978	in stock	10.99 CAD		
03408453943768095020	82181	limited availability	29.99 CAD		
03408453943768095020	77891	in stock	49.99 CAD		
03408453943768095020	77923	limited availability	34.99 CAD		
03408453943768095020	82425	limited availability	24.99 CAD		
03408453943768095020	82576	in stock	27.99 CAD		
03408453943768095020	82759	in stock	42.99 CAD		
03408453943768095020	68912	in stock	69.99 CAD		
03408453943768095020	68944	in stock	122.99 CAD		
03408453943768095020	68985	in stock	108.99 CAD		
03408453943768095020	73951	in stock	13.49 CAD		
03408453943768095020	78534	in stock	14.99 CAD		
03408453943768095020	78657	in stock	30.99 CAD		
03408453943768095020	83000	in stock	9.99 CAD		
03408453943768095020	61213	limited availability	19.99 CAD		
03408453943768095020	61555	in stock	141.99 CAD		
03408453943768095020	74955	in stock	12.49 CAD		
03408453943768095020	83393	in stock	114.99 CAD		
03408453943768095020	83425	in stock	24.99 CAD		
03408453943768095020	83443	limited availability	39.99 CAD		
03408453943768095020	83462	limited availability	49.99 CAD		
03408453943768095020	83485	limited availability	114.99 CAD		
03408453943768095020	83577	limited availability	38.99 CAD		
03408453943768095020	83594	in stock	109.99 CAD		
03408453943768095020	71260	in stock	12.49 CAD		
03408453943768095020	79892	limited availability	2.89 CAD		
03408453943768095020	79960	in stock	31.99 CAD		
03408453943768095020	69940	limited availability	92.99 CAD		
03408453943768095020	69999	in stock	22.49 CAD		
03408453943768095020	74494	limited availability	17.99 CAD		
03408453943768095020	79209	in stock	23.49 CAD		
03408453943768095020	79377	in stock	36.99 CAD		
03408453943768095020	83799	in stock	22.99 CAD		
03408453943768095020	83937	in stock	149.99 CAD		
03408453943768095020	84052	in stock	11.99 CAD		
03408453943768095020	84090	in stock	34.99 CAD		
03408453943768095020	61649	in stock	9.49 CAD		
03408453943768095020	66245	in stock	16.99 CAD		
03408453943768095020	81054	limited availability	27.99 CAD	22.39 CAD	2026-01-07T00:00:00.000-07:00/2026-02-05T00:00:00.000-07:00
03408453943768095020	81095	in stock	10.79 CAD		
03408453943768095020	86135	in stock	15.99 CAD	11.99 CAD	2026-01-07T00:00:00.000-07:00/2026-02-05T00:00:00.000-07:00
03408453943768095020	62402	in stock	77.99 CAD		
03408453943768095020	71764	limited availability	31.99 CAD		
