store_code	id	availability	price	sale_price	sale_price_effective_date
05037583532321415843	20681	limited availability	8.99 CAD		
05037583532321415843	33971	in stock	16.99 CAD		
05037583532321415843	34001	limited availability	69.99 CAD		
05037583532321415843	50942	limited availability	70.99 CAD		
05037583532321415843	50988	in stock	2.99 CAD		
05037583532321415843	17670	in stock	167.99 CAD	142.79 CAD	2025-06-04T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	8417	in stock	83.99 CAD		
05037583532321415843	11385	in stock	20.99 CAD		
05037583532321415843	30350	in stock	14.99 CAD		
05037583532321415843	57220	in stock	13.49 CAD		
05037583532321415843	4698	limited availability	13.99 CAD		
05037583532321415843	5198	limited availability	13.99 CAD		
05037583532321415843	58002	in stock	12.99 CAD		
05037583532321415843	67936	limited availability	19.99 CAD		
05037583532321415843	72260	in stock	6.99 CAD		
05037583532321415843	72652	limited availability	109.99 CAD		
05037583532321415843	72889	in stock	20.99 CAD		
05037583532321415843	77034	in stock	65.99 CAD		
05037583532321415843	77387	in stock	8.99 CAD		
05037583532321415843	64247	in stock	8.49 CAD	7.22 CAD	2025-08-06T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	82026	limited availability	9.99 CAD		
05037583532321415843	82043	in stock	9.99 CAD	7.49 CAD	2025-09-03T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	82192	limited availability	24.99 CAD		
05037583532321415843	69007	limited availability	124.99 CAD		
05037583532321415843	77887	in stock	49.99 CAD		
05037583532321415843	78052	in stock	24.99 CAD		
05037583532321415843	82445	limited availability	27.99 CAD		
05037583532321415843	82663	limited availability	23.99 CAD		
05037583532321415843	64902	in stock	21.99 CAD	17.59 CAD	2025-09-03T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	73872	limited availability	69.99 CAD		
05037583532321415843	73992	limited availability	24.99 CAD		
05037583532321415843	74124	in stock	21.99 CAD		
05037583532321415843	78419	in stock	7.49 CAD		
05037583532321415843	69945	in stock	147.99 CAD		
05037583532321415843	83320	limited availability	13.99 CAD		
05037583532321415843	83320	limited availability	13.99 CAD		
05037583532321415843	83472	in stock	26.99 CAD		
05037583532321415843	83549	limited availability	36.49 CAD		
05037583532321415843	70240	in stock	10.49 CAD		
05037583532321415843	74934	limited availability	46.99 CAD		
05037583532321415843	79279	in stock	2.99 CAD		
05037583532321415843	84087	in stock	39.99 CAD		
05037583532321415843	62181	in stock	4.79 CAD	3.83 CAD	2025-09-03T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	71437	limited availability	20.99 CAD		
05037583532321415843	76020	in stock	98.99 CAD		
05037583532321415843	79704	in stock	9.99 CAD		
05037583532321415843	84336	in stock	19.99 CAD		
05037583532321415843	84482	limited availability	118.99 CAD		
05037583532321415843	75553	in stock	53.99 CAD		
05037583532321415843	75560	limited availability	52.99 CAD		
05037583532321415843	80475	in stock	8.99 CAD		
05037583532321415843	80524	in stock	14.49 CAD	12.32 CAD	2025-09-03T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	84997	in stock	17.99 CAD		
05037583532321415843	71788	in stock	25.99 CAD		
05037583532321415843	85131	in stock	13.99 CAD		
05037583532321415843	35944	limited availability	65.49 CAD		
05037583532321415843	24246	in stock	9.99 CAD	7.99 CAD	2025-09-03T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	40946	limited availability	33.49 CAD		
05037583532321415843	17277	in stock	33.49 CAD		
05037583532321415843	52136	limited availability	16.99 CAD		
05037583532321415843	55436	limited availability	21.49 CAD		
05037583532321415843	55544	limited availability	44.99 CAD		
05037583532321415843	29083	limited availability	13.99 CAD		
05037583532321415843	9862	limited availability	34.99 CAD		
05037583532321415843	53948	limited availability	30.99 CAD		
05037583532321415843	56909	in stock	64.99 CAD		
05037583532321415843	53417	in stock	2.99 CAD		
05037583532321415843	58010	in stock	59.99 CAD		
05037583532321415843	68038	in stock	22.49 CAD		
05037583532321415843	68146	limited availability	268.49 CAD	228.22 CAD	2025-04-02T00:00:00.000-06:00/2025-10-09T00:00:00.000-06:00
05037583532321415843	72262	limited availability	18.99 CAD		
05037583532321415843	72321	in stock	10.99 CAD		
05037583532321415843	72389	in stock	163.99 CAD		
05037583532321415843	72394	limited availability	189.99 CAD		
05037583532321415843	63215	limited availability	41.99 CAD		
05037583532321415843	81785	limited availability	17.99 CAD		
05037583532321415843	58410	in stock	15.99 CAD		
05037583532321415843	82245	limited availability	59.99 CAD		
05037583532321415843	69024	limited availability	144.99 CAD		
05037583532321415843	77968	limited availability	49.99 CAD		
05037583532321415843	82338	limited availability	60.99 CAD		
05037583532321415843	82370	in stock	11.99 CAD		
05037583532321415843	82394	limited availability	23.99 CAD		
05037583532321415843	82636	in stock	13.49 CAD		
05037583532321415843	82685	limited availability	23.99 CAD		
05037583532321415843	78560	limited availability	52.99 CAD		
05037583532321415843	83071	limited availability	11.99 CAD		
05037583532321415843	83096	limited availability	61.49 CAD		
05037583532321415843	69952	limited availability	103.99 CAD		
05037583532321415843	70044	limited availability	37.99 CAD		
05037583532321415843	78752	limited availability	114.99 CAD		
05037583532321415843	83363	limited availability	99.99 CAD		
05037583532321415843	83372	limited availability	99.99 CAD		
05037583532321415843	83413	in stock	29.99 CAD		
05037583532321415843	83421	limited availability	24.99 CAD		
05037583532321415843	83423	limited availability	24.99 CAD		
05037583532321415843	81434	in stock	38.99 CAD		
05037583532321415843	55680	limited availability	64.99 CAD		
05037583532321415843	70250	in stock	32.99 CAD		
05037583532321415843	74960	in stock	12.49 CAD		
05037583532321415843	74958	in stock	17.49 CAD		
05037583532321415843	79287	in stock	3.99 CAD		
05037583532321415843	84030	in stock	32.99 CAD		
05037583532321415843	56642	limited availability	5.99 CAD		
05037583532321415843	79769	limited availability	65.99 CAD		
05037583532321415843	79971	in stock	3.49 CAD		
05037583532321415843	84271	in stock	29.99 CAD		
